"","Municipio","Mesa","Cargo","Lista","Votos","VE","Year","Circuito"
"40848","GENERAL PIZARRO",3515,"SENADOR","PJ - FRE.JU.VI.",81,"0",2007,"22E"
"40856","GENERAL PIZARRO",3515,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"22E"
"40863","GENERAL PIZARRO",3515,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"22E"
"40886","GENERAL PIZARRO",3515,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"22E"
"40887","GENERAL PIZARRO",3515,"SENADOR","MOVIMIENTO REGIONAL DEL PUEBLO",72,"0",2007,"22E"
"40890","GENERAL PIZARRO",3515,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"22E"
"40891","GENERAL PIZARRO",3515,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"22E"
"40894","GENERAL PIZARRO",3515,"GOBERNADOR","PROPUESTA SALTENA",0,"0",2007,"22E"
"40902","SALTA",3065,"GOBERNADOR","VOTOS EN BLANCO",12,"1",2007,"2B"
"40903","SALTA",3065,"DIPUTADO","VOTOS EN BLANCO",28,"1",2007,"2B"
"40936","GENERAL GUEMES",3455,"GOBERNADOR","PJ - FRE.JU.VI.",13,"0",2007,"13A"
"40937","GENERAL GUEMES",3455,"DIPUTADO","PJ - FRE.JU.VI.",9,"0",2007,"13A"
"40945","GENERAL GUEMES",3455,"GOBERNADOR","PARTIDO HUMANISTA",0,"0",2007,"13A"
"40952","GENERAL GUEMES",3455,"GOBERNADOR","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"13A"
"40953","GENERAL GUEMES",3455,"DIPUTADO","MOV. SOC. DE LOS TRABAJADORES",0,"0",2007,"13A"
"40956","GENERAL GUEMES",3455,"DIPUTADO","FRENTE GRANDE",0,"0",2007,"13A"
"40981","GENERAL GUEMES",3455,"GOBERNADOR","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"13A"
"40982","GENERAL GUEMES",3455,"DIPUTADO","MOVIMIENTO POPULAR SALTENO",0,"0",2007,"13A"
"40985","GENERAL GUEMES",3455,"DIPUTADO","MOVIMIENTO REGIONAL DEL PUEBLO",5,"0",2007,"13A"
"40986","GENERAL GUEMES",3455,"GOBERNADOR","PARTIDO DEL OBRERO",0,"0",2007,"13A"
"40987","GENERAL GUEMES",3455,"DIPUTADO","PARTIDO DEL OBRERO",0,"0",2007,"13A"
"40989","GENERAL GUEMES",3455,"GOBERNADOR","PARTIDO NUEVA GENERACION",0,"0",2007,"13A"
"40992","GENERAL GUEMES",3455,"GOBERNADOR","PROPUESTA SALTENA",3,"0",2007,"13A"
"40993","GENERAL GUEMES",3455,"DIPUTADO","PROPUESTA SALTENA",4,"0",2007,"13A"
"41002","GENERAL GUEMES",3455,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",2,"0",2007,"13A"
"41003","GENERAL GUEMES",3455,"DIPUTADO","F.PARA LA VICTORIA-P.RENOVADOR",0,"0",2007,"13A"
"41005","GENERAL GUEMES",3455,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"13A"
"41006","GENERAL GUEMES",3455,"DIPUTADO","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"13A"
"41007","GENERAL GUEMES",3455,"GOBERNADOR","CONCERTACION SALTENA",0,"0",2007,"13A"
"41008","GENERAL GUEMES",3455,"DIPUTADO","CONCERTACION SALTENA",1,"0",2007,"13A"
"41020","GENERAL GUEMES",3455,"GOBERNADOR","VOTOS EN BLANCO",3,"0",2007,"13A"
"41021","GENERAL GUEMES",3455,"DIPUTADO","VOTOS EN BLANCO",2,"0",2007,"13A"
"41044","GENERAL PIZARRO",3515,"GOBERNADOR","F.PARA LA VICTORIA-P.RENOVADOR",44,"0",2007,"22E"
"41045","GENERAL PIZARRO",3515,"SENADOR","F.PARA LA VICTORIA-P.RENOVADOR",29,"0",2007,"22E"
"41048","GENERAL PIZARRO",3515,"GOBERNADOR","ENCUENTRO POPULAR AMPLIO",0,"0",2007,"22E"
